1407,308,675,2141,314,676,13,4
3340,132,814,4040,132,762,9,1
5439,-255,621,6274,-224,590,0,5
7607,212,873,7740,206,715,11,0
9306,89,723,9574,85,710,8,3
11273,301,578,11473,297,567,13,6
13039,130,529,13173,119,529,9,7
14773,-90,683,15207,-83,675,4,4
16573,-253,680,17007,-215,652,0,4
18773,604,731,19040,593,726,20,3
20306,-78,784,20640,-80,777,4,2
22239,-75,421,22573,-79,429,4,9
24339,349,870,24407,366,823,14,0
26139,-123,429,26540,-101,434,3,9
27806,63,600,28073,57,632,7,5
29439,-153,793,29806,-145,798,2,1
31339,293,873,31506,285,825,13,0
33039,376,822,33239,376,812,15,1
34839,-219,814,35206,-178,759,1,1
36706,-22,852,36839,10,765,5,0
